region,unique_id,population,men,women,b_00_14,b_15_24,b_25_44,b_45_64,b_65_oo,unmarried,married,divorced,widowed
Bunschoten,GM0313,21576,10764,10812,4187,2812,5647,5409,3521,9095,10593,1008,880
Eemnes,GM0317,9113,4501,4612,1477,1108,1767,2912,1849,4054,3862,812,385
Houten,GM0321,49911,24570,25341,9770,5904,11419,15676,7142,23802,21191,3128,1790
Leusden,GM0327,30030,14723,15307,5001,3308,6164,9109,6448,12826,13462,2218,1524
Lopik,GM0331,14473,7336,7137,2460,2089,3088,4379,2457,6755,6294,803,621
Montfoort,GM0335,13996,7029,6967,2480,1813,3043,3977,2683,6531,6046,834,585
Renswoude,GM0339,5259,2625,2634,1133,689,1319,1317,801,2368,2458,237,196
Rhenen,GM0340,20004,9944,10060,3543,2395,4322,5524,4220,8661,9003,1246,1094
Soest,GM0342,46194,22552,23642,7507,5273,9523,13502,10389,20359,19412,3751,2672
Utrecht,GM0344,352866,172857,180009,60061,53781,127867,74570,36587,228270,93956,20938,9702
Veenendaal,GM0345,65589,32351,33238,12130,8292,16212,17259,11696,29175,28801,4488,3125
Woudenberg,GM0351,13166,6614,6552,2597,1641,2979,3489,2460,5803,6006,696,661
Wijk bij Duurstede,GM0352,23762,11725,12037,3862,2786,4882,7643,4589,10281,10607,1793,1081
IJsselstein,GM0353,34160,16596,17564,5914,4299,7619,10412,5916,16064,13783,2810,1503
Zeist,GM0355,63933,31091,32842,11250,7607,14444,17301,13331,31703,23718,5123,3389
Nieuwegein,GM0356,63036,31308,31728,9689,6859,16302,17605,12581,29447,25391,5407,2791
Aalsmeer,GM0358,31728,15694,16034,5722,3679,7073,9424,5830,15052,13060,2097,1519
Alkmaar,GM0361,108558,53695,54863,16940,11838,27921,30944,20915,53624,39474,10373,5087
Amstelveen,GM0362,90837,43650,47187,15912,10655,23629,23240,17401,45244,34661,6438,4494
Amsterdam,GM0363,862965,427787,435178,125602,108487,311068,209828,107980,555066,210221,74090,23588
Beemster,GM0370,9748,4849,4899,1630,1098,2132,2930,1958,4524,4173,580,471
Bergen (NH.),GM0373,29974,14467,15507,3611,3221,4219,9349,9574,12113,12916,2739,2206
Beverwijk,GM0375,41176,20582,20594,6579,4626,10812,11703,7456,19911,15306,3842,2117
Blaricum,GM0376,11200,5454,5746,2006,1048,2271,3056,2819,4747,4943,930,580
Bloemendaal,GM0377,23410,11321,12089,4170,2514,3541,7016,6169,10291,10055,1675,1389
Castricum,GM0383,35772,17634,18138,5212,4218,6831,10719,8792,15755,15354,2539,2124
Diemen,GM0384,29196,14263,14933,4403,4669,8240,7299,4585,16567,9334,2199,1096
Edam-Volendam,GM0385,36099,18039,18060,5793,4577,7834,10396,7499,15960,16348,2043,1748
Enkhuizen,GM0388,18507,9285,9222,2932,1972,4376,5237,3990,8308,7485,1745,969
Haarlem,GM0392,161263,78999,82264,27238,16520,47121,42915,27469,88455,51744,13922,7142
Haarlemmermeer,GM0394,154238,76758,77480,26665,19194,36064,46571,25744,73577,62938,11553,6170
Heemskerk,GM0396,39164,19169,19995,5861,4522,8548,11642,8591,17063,16330,3408,2363
Heemstede,GM0397,27286,12900,14386,4826,2562,4875,7751,7272,12195,11038,2216,1837
Heerhugowaard,GM0398,56742,28677,28065,10351,6827,14452,15180,9932,27303,22890,4321,2228
Heiloo,GM0399,23464,11585,11879,3538,2559,4099,7049,6219,10035,10200,1716,1513
Den Helder,GM0400,55604,27481,28123,8044,5970,12485,16590,12515,24156,22313,5840,3295
Hilversum,GM0402,90238,44280,45958,15291,9778,23577,24470,17122,45975,32045,7667,4551
Hoorn,GM0405,73004,36019,36985,12116,8594,18097,20314,13883,35550,27287,6901,3266
Huizen,GM0406,41273,19949,21324,6462,4553,8217,12619,9422,17786,17538,3743,2206
Landsmeer,GM0415,11488,5518,5970,1961,1241,2395,3480,2411,5325,4785,783,595
Langedijk,GM0416,27992,13917,14075,4663,3413,6083,8143,5690,12672,12125,1945,1250
Laren,GM0417,11197,5293,5904,1725,1045,1674,3252,3501,4489,4666,1075,967
Medemblik,GM0420,44809,22778,22031,7350,5296,9682,13273,9208,20485,19041,3098,2185
Oostzaan,GM0431,9757,4790,4967,1559,1166,2056,3024,1952,4363,4228,668,498
Opmeer,GM0432,11779,5985,5794,1828,1530,2605,3356,2460,5515,4996,641,627
Ouder-Amstel,GM0437,13916,6802,7114,2343,1656,2945,4119,2853,6973,5263,1010,670
Purmerend,GM0439,80117,39065,41052,11857,9515,18664,24304,15777,36897,31749,7246,4225
Schagen,GM0441,46553,23291,23262,7077,5421,9213,13674,11168,20572,19709,3642,2630
Texel,GM0448,13547,6726,6821,1801,1410,2664,4304,3368,5653,5881,1185,828
Uitgeest,GM0450,13528,6820,6708,2279,1732,3059,4057,2401,6349,5781,871,527
Uithoorn,GM0451,29424,14509,14915,4877,3501,6878,8730,5438,13784,11744,2383,1513
Velsen,GM0453,68348,33912,34436,10404,8357,15006,20865,13716,31214,27279,6033,3822
Weesp,GM0457,19334,9415,9919,3172,1880,4849,5542,3891,9301,7425,1582,1026
Zandvoort,GM0473,17011,8214,8797,2265,1570,3504,5258,4414,7790,6152,1992,1077
Zaanstad,GM0479,155885,77195,78690,25902,18047,39931,43761,28244,75918,58463,14181,7323
Alblasserdam,GM0482,20069,9853,10216,3884,2475,4535,5215,3960,8732,8962,1257,1118
Alphen aan den Rijn,GM0484,110986,55283,55703,18462,13105,27163,31424,20832,51537,46212,8210,5027
Barendrecht,GM0489,48673,23999,24674,8939,6218,10441,14727,8348,22019,21367,3231,2056
Drechterland,GM0498,19597,9919,9678,3178,2373,4211,5677,4158,8782,8706,1209,900
Brielle,GM0501,17182,8437,8745,2380,1894,3775,5295,3838,7021,7668,1488,1005
Capelle aan den IJssel,GM0502,66818,32271,34547,10873,7494,16088,18971,13392,31854,25262,6236,3466
Delft,GM0503,103163,54831,48332,12672,20622,29836,23825,16208,61301,29919,7851,4092
Dordrecht,GM0505,118654,58671,59983,18668,13970,29881,33653,22482,56044,45864,10638,6108
Gorinchem,GM0512,36682,18170,18512,5999,4384,9177,10450,6672,17137,14433,3273,1839
Gouda,GM0513,73181,35902,37279,12190,8735,18280,20170,13806,34876,28714,6095,3496
's-Gravenhage,GM0518,537833,266778,271055,92532,66099,162025,139157,78020,304766,162020,51430,19617
Hardinxveld-Giessendam,GM0523,18051,9014,9037,3493,2314,4314,4575,3355,7667,8675,772,937
